Frame#,Time,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z
254,2.108,-307.94543,487.76736,1552.07861,-509.38794,426.87924,1451.16541
255,2.117,-316.70624,486.26849,1553.17981,-517.79102,425.31934,1452.99854
256,2.125,-325.44833,484.69196,1552.9375,-527.00214,424.31549,1452.72339
257,2.133,-333.67117,483.75885,1553.06067,-536.61249,424.48245,1454.62939
258,2.142,-341.54654,482.61096,1552.83386,-545.37109,423.18103,1455.33618
259,2.15,-350.36047,481.19861,1553.18616,-555.20563,422.93585,1455.60449
260,2.158,-358.19986,478.6062,1554.12061,-563.91766,421.08282,1457.10132
261,2.167,-367.46188,478.3056,1555.3656,-572.17438,420.07257,1458.31055
262,2.175,-376.55383,478.08453,1554.76685,-581.76227,419.1445,1458.92554
263,2.183,-383.80322,476.86926,1556.3562,-589.2298,418.45392,1459.24805
264,2.192,-392.75876,475.49149,1556.69287,-598.21631,418.44528,1459.56702
265,2.2,-400.76462,476.05493,1557.05896,-606.93719,416.30933,1461.06091
266,2.208,-409.29861,474.60324,1557.81641,-613.69391,416.71436,1461.27466
267,2.217,-418.85641,473.10776,1558.36389,-622.49463,416.39767,1462.96655
268,2.225,-426.2373,472.74847,1559.33789,-630.78961,415.63092,1463.04712
269,2.233,-434.66022,472.78513,1560.0647,-641.51593,415.80704,1464.57397
270,2.242,-443.68442,472.88724,1561.15247,-649.04907,416.03345,1466.86804
271,2.25,-452.84592,471.61688,1562.14282,-657.67542,415.78796,1466.5907
272,2.258,-460.32809,470.06207,1563.55603,-666.1723,414.44794,1468.44702
273,2.267,-468.79843,471.22717,1564.38196,-674.30341,414.94482,1468.92175
274,2.275,-477.06955,470.23294,1565.36096,-683.49445,414.24408,1470.42432
275,2.283,-485.73743,470.70981,1566.34985,-691.49817,414.40933,1471.77966
276,2.292,-494.01349,469.63721,1567.52112,-699.97858,415.07907,1472.69604
277,2.3,-501.80289,469.7016,1568.64587,-708.82495,414.67419,1473.26648
278,2.308,-509.92355,469.36212,1569.47815,-716.91516,415.33182,1472.88611
279,2.317,-517.79926,471.53699,1569.83948,-725.77838,415.76974,1474.48413
280,2.325,-527.03943,470.74289,1570.8147,-732.3338,415.23834,1474.32434
281,2.333,-534.74835,470.43637,1570.81909,-740.16748,415.39877,1474.79785
282,2.342,-543.19495,468.3718,1571.65796,-748.02838,415.09927,1474.68201
283,2.35,-550.82025,470.65857,1571.81482,-756.94446,417.16974,1475.4425
284,2.358,-559.03711,470.22845,1572.38257,-764.08344,416.01077,1475.27307
285,2.367,-568.43188,469.97797,1572.37671,-772.43243,415.8414,1475.75293
286,2.375,-574.47241,469.38498,1571.96167,-780.91553,416.40018,1475.50452
287,2.383,-584.34467,469.59192,1573.05835,-788.53473,416.21481,1475.10803
288,2.392,-591.71649,469.69714,1572.7428,-796.19482,416.41974,1474.7688
289,2.4,-598.47382,469.88458,1572.60278,-804.2583,416.89517,1473.82861
290,2.408,-606.95422,469.64157,1571.93896,-810.95593,416.73801,1473.44226
291,2.417,-614.45892,469.37109,1572.19006,-819.896,417.19678,1472.16638
292,2.425,-623.12781,470.4361,1571.53162,-827.1156,418.1568,1471.3385
293,2.433,-630.38434,469.88467,1571.30151,-834.85846,418.20856,1471.88428
294,2.442,-639.0343,470.45255,1571.45422,-842.71344,418.34729,1470.77661
295,2.45,-646.04926,469.48697,1570.35132,-849.70581,418.41055,1469.72998
296,2.458,-653.72882,469.42911,1569.20923,-857.71637,419.06223,1468.76196
297,2.467,-661.09357,470.87201,1569.49329,-864.54993,418.95615,1467.30554
298,2.475,-667.6853,469.43466,1568.30078,-873.99561,419.94199,1466.62378
299,2.483,-675.91681,470.66855,1566.01208,-881.45105,420.83826,1465.53918
300,2.492,-683.99731,469.96082,1566.35388,-888.53943,420.72849,1464.67932
301,2.5,-693.26886,469.58252,1564.94128,-896.30933,421.58377,1464.12439
302,2.508,-701.21667,471.26099,1563.45691,-905.9649,422.18317,1462.84924
303,2.517,-708.9527,471.73352,1563.07703,-913.39337,424.04959,1462.38159
304,2.525,-716.90332,471.32797,1562.76147,-921.42694,424.35245,1461.2113
305,2.533,-725.38806,471.9379,1561.34021,-928.61499,423.87375,1459.7085
306,2.542,-732.81091,473.95895,1559.58105,-937.65356,424.60861,1459.12476
307,2.55,-741.10706,473.67276,1557.83362,-945.99451,425.52365,1457.45837
308,2.558,-748.37262,474.57504,1556.91846,-953.59448,427.30109,1456.33252
309,2.567,-756.25006,474.37888,1555.9325,-961.00824,428.41534,1456.10132
310,2.575,-763.85181,476.88773,1554.6239,-969.23456,428.68655,1454.72034
311,2.583,-773.03436,477.51099,1553.33594,-978.30719,430.16714,1453.90833
312,2.592,-780.3858,478.31696,1552.31079,-985.42328,430.47583,1451.40088
313,2.6,-789.37805,479.00687,1550.71069,-994.47229,432.7515,1450.60437
314,2.608,-796.34076,481.45309,1550.20154,-1002.8399,433.88678,1450.08313
315,2.617,-803.85016,481.53513,1548.94788,-1010.82983,434.22302,1449.16956
316,2.625,-813.1839,482.29791,1547.79492,-1017.7981,435.37125,1447.87231
317,2.633,-820.32935,484.21359,1547.40747,-1027.5083,438.24576,1446.32556
318,2.642,-828.57819,485.51672,1546.72559,-1035.11304,439.27209,1446.61304
319,2.65,-836.29108,488.38821,1544.85376,-1043.11499,438.77975,1445.11768
320,2.658,-844.68652,489.0755,1543.63831,-1052.71313,442.68054,1444.40015
321,2.667,-853.06006,491.69394,1543.75232,-1059.79175,443.47305,1442.96228
322,2.675,-860.37695,492.14801,1543.14343,-1067.6792,444.64929,1443.17114
323,2.683,-869.85364,494.67255,1542.75745,-1075.54419,447.54175,1442.26648
324,2.692,-879.0094,495.2037,1543.05994,-1084.7395,448.32474,1441.91248
325,2.7,-887.69238,497.29636,1544.19714,-1092.80591,450.03683,1441.54102
326,2.708,-894.49951,499.58191,1544.01672,-1100.85864,452.27481,1442.68433
327,2.717,-904.26782,500.40372,1543.31555,-1109.66699,453.81857,1442.52917
328,2.725,-912.13336,502.22968,1542.93481,-1118.17371,454.95459,1442.93005
329,2.733,-921.72986,502.80252,1543.56372,-1126.30005,457.04971,1443.48792
330,2.742,-929.6662,504.59866,1543.81604,-1135.05371,457.41727,1444.1228
331,2.75,-938.86511,509.12973,1544.38367,-1143.96533,458.19501,1445.6825
332,2.758,-946.32666,509.74826,1545.24463,-1152.11072,460.70776,1446.31616
333,2.767,-957.42743,510.96646,1546.12073,-1161.40991,461.47128,1447.20496
