Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z
440,3.658,-1335.01904,256.46902,897.81897
441,3.667,-1337.9093,255.51921,896.61926
442,3.675,-1342.50403,254.44878,896.59528
443,3.683,-1347.60229,253.35966,895.4978
444,3.692,-1352.93042,253.87053,894.72595
445,3.7,-1358.51453,252.76106,894.20923
446,3.708,-1361.02087,252.11528,893.85419
447,3.717,-1366.41687,251.22415,893.73785
448,3.725,-1370.88257,251.30545,892.73975
449,3.733,-1375.0675,249.92938,892.21973
450,3.742,-1377.91187,249.8136,891.49133
451,3.75,-1382.45129,248.71959,891.08759
452,3.758,-1384.9458,248.31276,890.82855
453,3.767,-1388.14197,247.74341,890.53387
454,3.775,-1392.21179,245.91595,890.02844
455,3.783,-1395.25256,245.59486,890.01837
456,3.792,-1397.82495,244.84201,890.88538
457,3.8,-1401.12659,244.3425,890.90796
458,3.808,-1403.43054,243.68872,891.45526
459,3.817,-1406.54382,243.49905,891.95111
460,3.825,-1408.09644,242.17471,892.24457
461,3.833,-1411.16772,241.78191,893.37189
462,3.842,-1413.06812,242.22195,894.30389
463,3.85,-1417.54382,239.82616,894.46222
