Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
117,0.967,-866.00073,89.96901,1292.6012,-927.24805,-194.97461,1276.2002,-915.64838,177.35036,1294.6748
118,0.975,-860.69727,87.00095,1292.71179,-922.16083,-196.69986,1277.49927,-913.04181,175.11946,1296.26672
119,0.983,-856.39282,84.25156,1293.23718,-917.38513,-198.9939,1277.27954,-906.01874,173.61977,1296.21985
120,0.992,-851.36761,82.7881,1293.28101,-913.20343,-201.16035,1277.39917,-906.26849,173.06618,1297.12732
121,1,-846.60516,81.39877,1294.05151,-909.10876,-203.7422,1277.46704,-898.38153,168.7278,1297.76538
122,1.008,-841.9718,78.82721,1294.91235,-903.57104,-205.35962,1278.51843,-894.21484,167.69812,1298.3385
123,1.017,-838.93665,76.95126,1295.49988,-898.80768,-208.59334,1278.56396,-890.54401,166.03752,1298.57324
124,1.025,-833.26215,75.51091,1296.61353,-894.81104,-209.72224,1278.84583,-889.52228,165.20801,1300.74524
125,1.033,-829.10443,73.59493,1297.69312,-890.04919,-211.88718,1280.48608,-880.84595,161.19827,1300.61975
126,1.042,-825.3963,71.34508,1298.57678,-884.26642,-213.89636,1281.6571,-877.62018,158.96902,1301.39893
127,1.05,-821.2099,69.64021,1299.43896,-880.98126,-215.34785,1281.61047,-875.20941,156.93655,1303.43311
128,1.058,-817.12683,67.29475,1301.04346,-876.21381,-217.45721,1283.14648,-871.68433,156.64864,1304.24683
129,1.067,-813.96692,65.51292,1302.44568,-872.18085,-218.71758,1283.38318,-868.54822,154.13889,1307.34241
130,1.075,-809.07269,64.0715,1303.45032,-865.63086,-221.4003,1285.68481,-867.4754,153.4001,1308.36218
131,1.083,-806.75787,61.46527,1304.16919,-861.99506,-222.97115,1286.44312,-860.84827,148.52443,1308.60181
132,1.092,-801.46924,61.00044,1305.64502,-856.94867,-224.36916,1286.90613,-857.54987,148.79002,1310.01392
133,1.1,-797.60803,58.66415,1306.77368,-854.07599,-227.30956,1287.86951,-856.53223,147.62885,1311.38574
134,1.108,-793.24347,56.60718,1307.44824,-849.84113,-228.59709,1288.60303,-852.07257,144.01579,1312.03601
135,1.117,-790.2738,55.16467,1309.47656,-845.25153,-231.64255,1289.62671,-848.14838,141.3378,1312.57288
136,1.125,-786.81964,53.1382,1309.01941,-839.91144,-233.37061,1290.85547,-845.76489,142.25449,1313.48083
137,1.133,-781.93463,51.05514,1309.71826,-836.85406,-235.11876,1291.2561,-841.04736,138.66939,1314.7406
138,1.142,-778.10529,50.91927,1311.54358,-831.89197,-237.75085,1291.83484,-836.83771,135.43558,1314.20068
139,1.15,-774.68121,48.1586,1311.60303,-826.89679,-240.05081,1292.22961,-834.56342,134.133,1314.80078
140,1.158,-770.55664,46.12649,1311.53418,-821.07208,-240.35809,1293.53333,-830.29633,133.14807,1315.72607
141,1.167,-765.85944,45.62151,1311.78674,-816.32715,-241.97881,1293.07593,-827.16852,131.76759,1316.29797
142,1.175,-763.13934,44.34196,1312.17468,-810.41559,-243.40234,1293.19775,-824.08221,129.92514,1316.14099
143,1.183,-758.49695,42.60707,1312.82983,-805.04572,-245.69109,1293.05432,-818.35785,127.87059,1315.22485
144,1.192,-754.37164,40.91634,1312.91284,-800.71771,-247.19876,1293.72473,-815.73285,126.43922,1315.03394
145,1.2,-751.66388,39.75842,1312.44971,-797.83234,-248.96762,1294.06763,-811.4964,124.20152,1314.92493
146,1.208,-746.93152,37.87314,1312.28003,-792.66473,-250.12656,1294.23938,-807.86871,123.7024,1316.11853
147,1.217,-742.42297,37.20141,1312.07349,-784.66022,-250.11703,1294.75,-805.24988,122.41544,1316.09717
148,1.225,-739.23212,35.05209,1312.62537,-780.38812,-251.42459,1294.75818,-799.80542,119.79845,1314.96619
149,1.233,-736.08606,34.46233,1312.0896,-776.97876,-253.78165,1293.89551,-795.88831,120.30106,1315.25574
150,1.242,-730.68707,33.30704,1312.35168,-772.50275,-255.25345,1294.39746,-791.67773,117.12857,1316.52722
151,1.25,-726.92206,32.31852,1312.31714,-766.99371,-255.38249,1295.05493,-789.3656,117.04117,1315.9801
152,1.258,-723.85693,32.0862,1311.51697,-762.1355,-257.0394,1294.41992,-783.76031,115.82399,1316.78369
153,1.267,-718.73779,31.61635,1311.50012,-758.61395,-258.20001,1295.474,-782.54462,115.56703,1316.99353
154,1.275,-716.57397,29.50863,1312.32751,-753.73279,-258.60397,1295.12378,-777.51703,114.09106,1316.99231
155,1.283,-711.90826,29.08886,1312.26624,-746.13074,-259.02026,1296.27502,-773.74823,112.70816,1317.8501
156,1.292,-707.80548,28.47085,1311.72998,-743.23254,-260.521,1296.40747,-770.79181,112.58363,1316.82471
157,1.3,-704.6488,27.45949,1312.37109,-739.04834,-261.31769,1296.37964,-766.01129,110.44208,1317.52271
158,1.308,-700.88824,26.6316,1312.75793,-736.02484,-261.47055,1297.04175,-762.79999,110.0431,1316.75024
159,1.317,-697.39264,26.22864,1312.85828,-729.82184,-262.34973,1297.09705,-759.53247,110.01404,1317.33533
160,1.325,-693.50653,25.74867,1314.18372,-726.87939,-263.6348,1297.83362,-753.92023,107.71131,1317.08081
161,1.333,-689.20349,25.26835,1314.13794,-723.17261,-264.07526,1297.99609,-755.35773,109.30266,1318.37305
162,1.342,-686.5177,26.23426,1313.87512,-719.37708,-264.29004,1298.48596,-748.70129,107.95308,1317.58862
163,1.35,-682.59583,24.29461,1313.49792,-714.4137,-265.48303,1298.47156,-747.52551,107.53242,1318.79248
164,1.358,-677.33429,24.56058,1313.91064,-710.51959,-266.39734,1298.67871,-742.13483,106.08998,1317.95154
165,1.367,-675.03784,24.74705,1314.04285,-704.75055,-265.13635,1297.9751,-738.39813,105.80872,1318.5592
166,1.375,-670.38293,23.40565,1313.53455,-701.95117,-267.05453,1298.23853,-737.86896,106.6769,1318.7467
167,1.383,-665.93427,22.21336,1313.75378,-697.93738,-266.30573,1297.86609,-731.93298,106.66,1319.03979
168,1.392,-663.15991,23.57682,1313.34473,-695.51416,-266.76605,1297.87659,-729.11163,104.44105,1320.06091
169,1.4,-658.95673,22.95963,1313.21216,-689.92004,-266.60638,1296.96912,-723.40747,104.53365,1318.58069
170,1.408,-655.94952,24.45301,1313.1698,-686.46655,-267.40207,1297.0708,-719.86444,104.04006,1317.51563
171,1.417,-650.81012,23.07061,1312.53906,-682.48071,-268.07648,1297.07776,-714.4978,104.10559,1316.75415
172,1.425,-646.18622,22.56151,1312.24182,-677.03918,-268.22852,1297.39258,-714.02826,104.7272,1317.86035
173,1.433,-643.31744,23.96468,1312.17029,-672.88013,-266.23459,1295.46497,-707.19867,104.92448,1316.65198
174,1.442,-639.11957,22.58776,1310.6991,-668.80835,-267.07544,1295.48669,-703.7077,106.31022,1316.7594
175,1.45,-633.08173,23.20406,1310.40918,-665.17334,-267.95822,1295.4845,-700.9408,106.11837,1317.40564
176,1.458,-630.20856,24.12793,1310.01697,-660.77271,-267.82208,1295.01721,-694.6947,105.21464,1314.62952
177,1.467,-625.62872,24.46671,1310.37378,-656.17407,-266.66705,1293.97717,-691.87537,105.83056,1315.0863
178,1.475,-620.11938,23.25818,1309.06091,-654.66461,-265.86984,1293.86865,-686.20117,106.2021,1313.75952
179,1.483,-616.21161,24.00289,1307.5155,-650.1488,-266.53412,1293.14966,-682.36731,107.22173,1313.12219
180,1.492,-612.41748,25.01507,1307.51892,-645.13257,-265.79623,1291.08972,-678.07141,106.96648,1312.78198
181,1.5,-606.9621,24.73114,1306.44763,-640.92029,-264.668,1291.01404,-672.92859,107.13556,1311.1416
182,1.508,-602.10315,25.89041,1305.41406,-636.69379,-264.90695,1290.70239,-667.68433,108.25225,1310.51855
183,1.517,-598.37891,25.25165,1305.16907,-631.1626,-264.67999,1290.50208,-662.80048,109.4297,1311.05493
184,1.525,-593.44342,26.21762,1305.54871,-629.12701,-264.6658,1289.98279,-659.55896,109.42257,1310.30505
185,1.533,-588.47717,26.72112,1304.07678,-623.77594,-262.40112,1288.19983,-653.4248,110.59224,1308.61401
186,1.542,-583.35583,27.41617,1302.74121,-616.008,-263.35751,1287.64551,-648.14606,111.83625,1307.74097
187,1.55,-578.41132,28.65547,1302.04541,-616.2688,-261.60318,1287.98401,-643.06696,113.07223,1307.13135
