Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z
307,2.55,339.53143,357.48407,824.883
308,2.558,336.75046,357.33347,825.93524
309,2.567,334.80051,356.48514,826.82404
310,2.575,331.50003,356.10046,826.92639
311,2.583,329.71371,355.10342,828.01117
312,2.592,325.46725,353.01855,828.43933
313,2.6,324.15411,352.57632,828.73993
314,2.608,320.66077,352.86926,829.67578
315,2.617,318.73535,352.7746,829.82483
316,2.625,316.11575,352.10992,829.15924
317,2.633,313.99219,351.08533,829.63196
318,2.642,312.6586,350.47498,829.75415
319,2.65,308.51892,350.68967,830.89063
320,2.658,306.4274,349.53613,831.12939
321,2.667,303.40225,348.86774,831.27979
322,2.675,301.18848,346.92502,831.47443
323,2.683,298.90826,346.49469,831.07904
324,2.692,296.72049,345.42834,831.35736
325,2.7,294.5387,344.23239,831.15875
326,2.708,291.15579,344.01511,831.99115
327,2.717,288.47223,343.78799,832.5686
328,2.725,286.21417,342.69135,832.73853
329,2.733,283.34213,341.33026,832.38129
330,2.742,281.18027,340.18414,832.85376
331,2.75,278.37161,339.72073,833.81293
332,2.758,274.99286,339.46457,833.36963
333,2.767,271.50345,339.00073,834.52594
334,2.775,269.76221,338.79175,834.58624
335,2.783,267.23294,337.52579,834.71698
336,2.792,262.7764,337.9794,833.89087
337,2.8,259.72406,336.68842,833.98932
338,2.808,257.32443,337.57928,834.76038
339,2.817,253.56335,336.87024,833.92761
340,2.825,250.96901,335.90955,833.8064
341,2.833,248.60812,336.32233,834.73883
342,2.842,244.09366,336.57516,834.98206
343,2.85,239.43654,337.70087,833.63788
344,2.858,237.1274,336.72266,834.24042
345,2.867,233.04631,337.16595,833.80554
346,2.875,229.11456,336.8652,833.00134
347,2.883,225.22456,337.55679,832.48486
348,2.892,221.35199,338.32037,832.00171
349,2.9,217.75621,337.89127,831.64587
350,2.908,212.34412,338.75488,831.45374
351,2.917,207.33957,339.91272,831.06451
352,2.925,203.69583,340.10526,831.48749
353,2.933,198.33847,340.34372,830.56195
354,2.942,193.64626,341.83212,828.80823
355,2.95,188.88681,341.20428,828.50128
356,2.958,182.45621,342.57318,828.25275
357,2.967,177.42609,343.96219,828.06964
358,2.975,171.14703,345.34012,827.05518
