Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
158,1.308,1084.20105,-73.71523,1580.50854,995.25385,-60.97838,1462.61938
159,1.317,1078.15747,-72.33311,1579.82166,990.78406,-60.44201,1461.5741
160,1.325,1074.28711,-73.85741,1580.57434,984.05597,-57.55538,1464.47693
161,1.333,1069.11072,-74.13451,1580.46008,979.85938,-61.59488,1461.25916
162,1.342,1060.83069,-74.84272,1580.91919,974.74573,-59.1814,1461.13049
163,1.35,1056.40564,-73.90885,1582.12439,969.0202,-63.40168,1461.18848
164,1.358,1054.12415,-74.28103,1582.39355,964.54028,-60.93075,1461.76965
165,1.367,1045.06665,-74.77402,1580.84753,960.97998,-62.46544,1462.08716
166,1.375,1042.07983,-75.2048,1580.81543,954.22809,-61.78977,1461.21814
167,1.383,1037.26672,-73.51644,1578.58691,950.04913,-61.21119,1460.31616
168,1.392,1031.43506,-74.93085,1578.78137,944.67737,-59.93494,1460.12622
169,1.4,1026.22437,-74.29248,1578.66638,940.38666,-61.44094,1461.19348
170,1.408,1022.4765,-72.9753,1579.26929,934.02826,-58.964,1460.27209
171,1.417,1018.02893,-75.50837,1579.39148,929.87183,-61.76164,1460.26611
172,1.425,1012.42914,-74.13023,1578.18921,924.52856,-59.57617,1460.60852
173,1.433,1008.46735,-74.97061,1578.98474,921.24158,-59.46622,1460.26465
174,1.442,1004.05298,-75.47746,1578.22791,915.32123,-60.11795,1460.81335
175,1.45,998.03107,-75.61175,1580.05457,910.7428,-60.21982,1459.23914
176,1.458,992.73596,-71.65932,1577.46399,906.52075,-57.76868,1460.39661
177,1.467,989.39166,-74.30807,1578.09839,900.49219,-59.8163,1460.35632
178,1.475,983.32397,-73.93015,1578.70532,896.36359,-59.36562,1459.01587
179,1.483,978.05634,-71.99475,1576.41101,891.47461,-57.12898,1458.74817
180,1.492,973.58392,-72.8953,1576.94971,884.61957,-58.77529,1458.15808
181,1.5,969.6972,-70.11525,1575.76917,880.55115,-58.16677,1457.39868
182,1.508,964.86023,-68.50639,1575.59607,875.86469,-57.10823,1456.66553
183,1.517,957.47449,-69.04697,1574.22803,870.61774,-57.8106,1456.91663
184,1.525,954.17694,-68.59412,1575.32739,865.6615,-56.29476,1456.59998
185,1.533,949.76355,-68.52008,1573.35388,860.01801,-53.26625,1455.53455
186,1.542,944.48114,-66.87577,1571.50085,855.07629,-53.88254,1455.00037
187,1.55,938.58502,-66.89054,1571.99658,851.39355,-53.9467,1454.86096
188,1.558,934.61835,-65.61519,1571.53625,845.66931,-52.11002,1453.85327
189,1.567,929.32452,-63.96872,1571.047,840.44623,-51.4827,1453.32227
190,1.575,923.51422,-64.38695,1570.28015,834.55994,-50.2235,1452.96167
191,1.583,918.64111,-62.53841,1568.88892,829.60986,-49.29776,1452.62891
192,1.592,912.8772,-60.43728,1568.24426,824.27325,-49.6923,1452.05261
193,1.6,908.74127,-58.83812,1567.33545,819.05817,-48.96597,1451.2251
194,1.608,903.20233,-59.60884,1566.32849,814.01001,-48.40577,1450.27405
195,1.617,898.97729,-57.45129,1566.22131,808.14948,-44.10869,1449.72522
196,1.625,891.79834,-55.27427,1564.64148,803.1983,-43.79512,1449.3606
197,1.633,888.59332,-53.81492,1564.422,797.17834,-44.04036,1447.8092
198,1.642,881.70825,-54.03881,1563.65137,792.59937,-41.78317,1447.36169
199,1.65,877.29724,-52.14788,1562.67651,786.97552,-40.90388,1446.50818
200,1.658,871.90192,-50.29631,1562.7417,781.37256,-41.22794,1446.44385
201,1.667,866.45129,-48.43862,1561.44446,775.38397,-38.23247,1446.16565
202,1.675,861.22009,-48.55723,1561.70703,770.39172,-34.88879,1446.88513
203,1.683,856.39471,-47.16071,1562.03821,764.31665,-36.21325,1447.14441
204,1.692,851.29663,-44.6769,1562.71631,759.43085,-35.29697,1446.35779
205,1.7,844.16302,-43.56165,1560.91943,753.98859,-32.55996,1446.93689
206,1.708,838.59479,-42.61217,1561.04468,747.82422,-32.34255,1445.92896
207,1.717,833.11768,-40.40411,1562.30847,741.90186,-29.43635,1445.92078
208,1.725,827.94122,-37.66172,1562.07422,737.04773,-27.86878,1447.06995
209,1.733,822.1377,-36.6902,1561.8772,732.30505,-26.26975,1447.35974
210,1.742,816.04376,-35.65736,1562.89734,725.58093,-27.38372,1447.60657
211,1.75,810.1297,-34.28401,1564.65247,719.59003,-24.65584,1448.03845
212,1.758,804.19891,-32.82304,1564.76501,714.27448,-21.97768,1449.56177
213,1.767,798.41125,-31.6825,1565.76697,708.96027,-21.6929,1449.88342
214,1.775,792.66187,-29.04554,1567.90332,702.96991,-19.50096,1450.58704
215,1.783,786.79865,-27.01036,1567.51648,699.1839,-19.15874,1451.8064
216,1.792,781.92975,-27.27623,1568.44678,692.04132,-18.21379,1453.49695
217,1.8,775.13318,-25.62297,1569.50244,687.961,-17.71916,1454.42798
218,1.808,771.57861,-23.75212,1572.25244,682.67371,-14.16557,1455.32764
219,1.817,765.93024,-22.01259,1573.15784,677.09229,-13.24115,1456.40222
220,1.825,760.4375,-22.30032,1574.1355,671.42487,-12.2064,1458.28101
221,1.833,755.59857,-19.50066,1576.84204,666.46472,-11.63655,1459.08423
222,1.842,750.86237,-18.56478,1576.82214,661.37775,-10.75259,1459.02441
223,1.85,745.99225,-15.80725,1577.76721,655.36749,-7.13564,1461.62878
224,1.858,741.66925,-14.44441,1578.63757,651.12622,-5.39502,1462.1687
225,1.867,735.43665,-14.00879,1579.6908,645.55652,-5.11828,1462.67407
226,1.875,731.14783,-11.86408,1580.3905,640.14056,-4.14117,1463.49585
227,1.883,726.10986,-10.99806,1580.68323,635.17297,-2.32961,1465.21008
228,1.892,722.07153,-7.49995,1580.94995,629.7915,0.14816,1465.40466
229,1.9,715.69482,-7.71385,1581.72375,623.84674,1.27974,1466.08997
230,1.908,710.91644,-5.29718,1582.46667,620.37836,1.4509,1466.56299
231,1.917,706.79028,-4.82747,1582.67761,615.1579,2.98144,1467.09033
232,1.925,700.91101,-2.37711,1583.49219,609.9837,2.66687,1467.21472
233,1.933,694.75208,-2.27609,1582.78833,604.32648,4.29107,1467.03186
234,1.942,690.99408,-0.88706,1582.59973,599.20526,5.83459,1467.43518
235,1.95,685.66351,1.19102,1582.70813,593.60852,6.06645,1467.92078
236,1.958,680.18909,1.93667,1582.79199,589.427,8.75036,1468.96057
237,1.967,675.30859,3.67919,1583.23364,585.00623,10.50306,1467.99487
238,1.975,669.48785,4.79057,1584.22791,578.51428,9.2199,1467.7843
239,1.983,664.75183,6.52575,1584.17114,573.95605,10.98943,1467.20728
240,1.992,659.33832,6.17768,1583.34753,568.81097,10.5836,1467.90149
241,2,654.0451,8.56312,1583.11938,563.43866,11.46527,1468.18994
242,2.008,648.63245,8.85719,1583.29614,558.81683,13.97672,1467.41418
243,2.017,642.39282,9.65518,1583.7793,553.77069,13.85476,1467.3894
244,2.025,638.07837,10.76285,1584.68445,548.16663,14.00873,1466.82654
245,2.033,632.9939,11.05974,1584.58972,544.30646,16.49095,1467.56738
246,2.042,627.23792,12.10468,1583.31128,538.32214,16.0051,1466.25476
247,2.05,622.55164,12.27155,1583.14966,533.65961,16.22623,1467.50708
248,2.058,618.28809,14.10169,1583.57373,529.24768,16.25671,1467.05981
249,2.067,612.28174,13.3491,1583.7417,523.75604,16.38523,1466.31885
250,2.075,607.28772,14.64314,1583.0199,519.16449,17.86287,1466.42676
