Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
320,2.658,320.57898,-326.86731,830.50702
321,2.667,324.46384,-326.51938,830.81805
322,2.675,325.75684,-326.6351,830.86084
323,2.683,330.24704,-325.08826,830.99365
324,2.692,331.65311,-324.31131,831.04797
325,2.7,335.51239,-324.01355,831.08728
326,2.708,336.65286,-324.59009,830.91504
327,2.717,339.55435,-322.96255,830.89673
328,2.725,342.78403,-323.17584,830.82056
329,2.733,344.13577,-322.50397,830.78796
330,2.742,347.38626,-321.96597,830.37134
331,2.75,352.50461,-322.82581,828.90125
332,2.758,353.06015,-322.32611,828.45068
333,2.767,357.30133,-322.0762,828.47205
334,2.775,359.60736,-321.45248,828.78937
335,2.783,361.07706,-321.3895,828.67462
336,2.792,362.8316,-319.96289,827.94421
337,2.8,366.83185,-320.69781,828.85571
338,2.808,367.82709,-320.24667,827.50775
339,2.817,371.987,-319.668,828.28326
340,2.825,373.05359,-317.83728,826.4021
341,2.833,377.22574,-320.20792,827.18304
342,2.842,379.35153,-319.19403,826.88391
343,2.85,383.17395,-319.4874,826.69482
344,2.858,385.1333,-318.38705,826.51703
345,2.867,388.19,-319.05023,826.62677
346,2.875,391.66949,-318.00226,825.79401
347,2.883,395.02292,-319.62567,825.73822
348,2.892,395.57593,-319.0235,824.6214
349,2.9,401.14014,-318.88745,824.63953
350,2.908,405.01553,-319.33542,824.41473
351,2.917,407.47028,-319.52863,824.17065
352,2.925,411.63315,-320.37936,823.93384
353,2.933,413.83176,-319.01221,822.3642
354,2.942,417.815,-319.31345,820.79285
355,2.95,422.45966,-320.02051,820.77557
356,2.958,427.35602,-321.3837,820.52118
357,2.967,429.97098,-319.50165,819.21857
358,2.975,435.0463,-319.64673,817.74615
359,2.983,438.68228,-321.36691,817.65979
360,2.992,443.14673,-319.9798,815.72241
361,3,447.58405,-321.09042,815.25067
362,3.008,452.63507,-321.33289,814.164
363,3.017,456.69763,-321.59888,812.60986
364,3.025,462.02225,-322.05679,811.86554
365,3.033,467.50192,-323.41397,811.50049
366,3.042,473.19617,-323.27301,809.76587
367,3.05,477.28964,-323.38864,808.80786
368,3.058,484.17322,-324.21075,807.79077
369,3.067,489.44919,-324.01181,806.85266
370,3.075,495.00711,-324.03317,805.37634
371,3.083,501.43164,-325.87643,804.61633
372,3.092,506.44711,-325.53015,803.422
373,3.1,513.09955,-327.06006,802.69775
374,3.108,518.41284,-326.61282,800.73407
375,3.117,526.47949,-327.15103,801.13812
376,3.125,532.62341,-327.97202,799.58435
377,3.133,539.12756,-328.97339,799.84088
378,3.142,546.15314,-328.9176,799.29968
