Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z
266,2.208,-59.43349,-148.48082,1299.32397
267,2.217,-54.67794,-148.01736,1298.8125
268,2.225,-50.40421,-146.84959,1298.3783
269,2.233,-45.56292,-147.19574,1297.71191
270,2.242,-40.6181,-147.02309,1296.98865
271,2.25,-35.51821,-147.32863,1296.23938
272,2.258,-30.54333,-146.09528,1295.76099
273,2.267,-25.5902,-145.60683,1294.61719
274,2.275,-21.67886,-145.52435,1293.17908
275,2.283,-17.26273,-145.24397,1292.8584
276,2.292,-11.43964,-144.68353,1292.20984
277,2.3,-6.32386,-143.83942,1291.71497
278,2.308,-1.21414,-143.33133,1291.00122
279,2.317,3.94675,-143.59456,1290.15613
280,2.325,8.99473,-142.1627,1288.95386
281,2.333,13.2019,-141.32759,1288.51392
282,2.342,18.62209,-140.75026,1288.26978
283,2.35,24.34499,-139.57668,1286.74683
284,2.358,28.92299,-139.30515,1286.13049
285,2.367,34.54243,-138.26704,1285.95361
286,2.375,39.91027,-138.1077,1285.74585
287,2.383,44.85799,-136.09401,1284.72095
288,2.392,51.34216,-136.76402,1284.22595
289,2.4,56.59521,-134.57983,1283.09253
290,2.408,61.41706,-132.84219,1283.20618
291,2.417,67.78298,-131.6857,1282.50342
292,2.425,73.73668,-129.89542,1282.48474
293,2.433,79.49817,-128.31839,1281.54871
294,2.442,85.69771,-128.25848,1280.62402
295,2.45,91.48441,-126.4826,1280.78442
296,2.458,97.09851,-124.61058,1280.47131
297,2.467,103.09222,-123.35587,1280.21106
298,2.475,108.27749,-120.97257,1280.05188
299,2.483,114.7942,-119.23869,1281.2168
300,2.492,121.28324,-117.293,1281.28638
301,2.5,126.79084,-115.44299,1281.28247
302,2.508,132.42929,-112.7485,1281.42126
303,2.517,139.86122,-112.31192,1282.92175
304,2.525,145.21793,-110.24474,1282.58337
305,2.533,150.82399,-108.77269,1283.46509
306,2.542,158.13983,-106.3465,1284.74316
307,2.55,164.933,-105.12966,1285.88391
308,2.558,169.01344,-102.52367,1286.32935
309,2.567,174.81767,-99.70166,1287.47095
310,2.575,180.36848,-98.77008,1289.23645
311,2.583,186.06505,-96.58814,1289.89832
312,2.592,192.16611,-93.68002,1292.41968
313,2.6,197.97134,-92.37838,1292.91553
314,2.608,203.89253,-91.74057,1293.80859
315,2.617,208.92352,-89.87011,1296.02893
316,2.625,215.56415,-87.94454,1296.35889
317,2.633,221.03653,-86.78724,1297.71692
318,2.642,226.51654,-85.40677,1299.12903
319,2.65,230.98352,-82.80455,1299.18823
320,2.658,237.21545,-81.74049,1299.16443
321,2.667,242.88754,-80.35887,1301.33923
322,2.675,248.00449,-78.96935,1300.83105
323,2.683,252.58397,-77.37782,1301.35669
324,2.692,258.78354,-77.0228,1301.60657
325,2.7,263.7688,-76.03381,1302.61133
326,2.708,268.83771,-74.7255,1303.04602
327,2.717,274.2204,-73.18006,1302.31555
328,2.725,278.31976,-71.80718,1302.0304
329,2.733,284.09067,-71.34092,1302.19348
330,2.742,289.94818,-70.65401,1302.0863
331,2.75,294.69757,-70.58998,1303.3241
332,2.758,299.01962,-68.16807,1303.0188
333,2.767,303.92691,-67.23785,1303.43042
334,2.775,308.7341,-65.96237,1303.64612
335,2.783,313.97836,-65.67935,1303.07776
336,2.792,318.61984,-65.55587,1303.58545
337,2.8,323.75955,-64.28075,1303.65137
338,2.808,328.24905,-63.65796,1303.20007
339,2.817,332.97452,-62.63696,1304.08789
340,2.825,337.89304,-64.06334,1303.58386
341,2.833,341.79761,-62.09082,1303.53027
342,2.842,347.02826,-61.55152,1304.09253
343,2.85,351.42978,-62.40238,1303.51208
344,2.858,356.99371,-61.92768,1303.73889
345,2.867,360.89539,-61.67858,1303.82593
346,2.875,364.75775,-60.67295,1303.11584
347,2.883,369.6817,-61.17731,1303.40735
348,2.892,374.80469,-60.43399,1302.35144
349,2.9,378.27701,-60.25327,1301.85168
350,2.908,384.16931,-60.38236,1302.06982
351,2.917,389.827,-60.10013,1301.71851
352,2.925,393.85583,-60.16365,1301.17712
353,2.933,398.79257,-60.23534,1300.73547
354,2.942,403.66721,-61.1305,1300.28589
355,2.95,408.71179,-60.48338,1299.2019
356,2.958,413.84036,-61.46359,1298.76685
357,2.967,418.58334,-60.64069,1298.0343
358,2.975,423.09723,-60.54599,1297.20752
359,2.983,429.07458,-61.5461,1296.96082
360,2.992,433.40186,-62.09482,1295.96899
361,3,440.52762,-62.96904,1295.14648
362,3.008,443.82001,-62.89465,1294.47437
363,3.017,450.30252,-63.64476,1294.04089
364,3.025,454.55014,-63.94746,1292.87183
365,3.033,460.23764,-64.05685,1292.44604
366,3.042,465.69107,-64.65002,1291.71277
367,3.05,471.12988,-66.04732,1291.27063
368,3.058,476.34879,-66.6225,1290.07532
369,3.067,482.32797,-67.12299,1289.31714
370,3.075,486.6268,-67.95727,1288.20105
371,3.083,492.92072,-68.28613,1287.70361
372,3.092,498.16016,-69.91029,1287.43347
373,3.1,504.55328,-71.48018,1286.09778
374,3.108,510.64877,-71.57715,1285.11304
375,3.117,515.8291,-73.02158,1285.37695
376,3.125,522.29602,-73.99842,1283.99329
377,3.133,527.88098,-74.50592,1283.59619
378,3.142,534.18195,-76.76475,1283.41785
379,3.15,540.02856,-78.07966,1283.17212
380,3.158,546.47369,-78.97013,1283.10596
381,3.167,552.14832,-79.20409,1282.75464
382,3.175,558.64185,-81.52133,1283.47058
383,3.183,564.50769,-83.757,1284.12427
384,3.192,571.60297,-84.35677,1284.11206
385,3.2,577.46014,-86.62695,1285.33765
386,3.208,583.2309,-87.66253,1285.38843
387,3.217,588.29889,-88.84467,1286.8634
388,3.225,595.70538,-90.85936,1288.4043
389,3.233,601.21008,-93.17335,1289.6825
390,3.242,606.58978,-93.23936,1290.51184
391,3.25,612.09186,-95.32178,1291.98315
392,3.258,619.45245,-96.36752,1293.09473
393,3.267,625.06805,-99.60513,1294.99341
394,3.275,631.13007,-99.56452,1295.69641
395,3.283,636.85474,-101.95658,1297.3927
396,3.292,643.50757,-103.0866,1298.52966
397,3.3,649.09784,-104.89301,1300.33545
398,3.308,655.20166,-105.93411,1301.23193
