Frame#,Time,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z
381,3.167,-813.11243,639.32916,1065.41394
382,3.175,-820.59338,641.69409,1063.64185
383,3.183,-827.80518,642.01532,1063.32532
384,3.192,-833.9682,643.26093,1061.81555
385,3.2,-842.78314,644.11993,1060.91016
386,3.208,-849.44165,645.70892,1058.79431
387,3.217,-858.62744,644.05884,1058.01978
388,3.225,-865.41541,646.64807,1056.52722
389,3.233,-874.4054,646.51965,1055.45605
390,3.242,-881.59906,649.17877,1053.72534
391,3.25,-890.17206,647.60559,1052.83752
392,3.258,-897.39807,649.69366,1051.53955
393,3.267,-906.79529,648.71954,1051.4989
394,3.275,-912.479,651.07837,1051.08862
395,3.283,-921.6803,650.74377,1050.45361
396,3.292,-930.71375,651.28986,1050.62891
397,3.3,-937.15094,651.30316,1050.87708
398,3.308,-947.89178,651.24384,1050.4657
399,3.317,-953.01135,653.72626,1050.98206
400,3.325,-963.64929,652.4942,1051.86523
401,3.333,-968.97131,653.9989,1052.32971
402,3.342,-980.07477,653.87152,1054.01343
403,3.35,-985.36493,657.03668,1054.49194
