Frame#,Time,L.Radius.x,L.Radius.y,L.Radius.z
257,2.133,104.04134,356.93512,1389.56982
258,2.142,96.46978,358.08685,1391.06165
259,2.15,88.61554,359.52936,1391.86621
260,2.158,80.92223,362.17053,1393.00635
261,2.167,72.60648,363.98456,1394.16431
262,2.175,65.92037,365.7471,1395.21143
263,2.183,57.21691,367.85419,1397.12109
264,2.192,49.46738,369.27957,1398.02075
265,2.2,42.97059,370.12714,1399.35376
266,2.208,34.38776,371.39978,1399.82837
267,2.217,26.94806,374.51608,1400.6814
268,2.225,19.99123,375.09665,1401.53577
269,2.233,12.46803,376.70364,1403.21716
270,2.242,5.33481,378.05902,1404.47839
271,2.25,-2.4456,378.3696,1404.62903
272,2.258,-8.64364,380.44284,1405.74512
273,2.267,-17.42421,380.69629,1406.26709
274,2.275,-23.61204,382.10059,1407.15613
275,2.283,-30.81325,383.17648,1408.39392
276,2.292,-37.66797,385.44049,1408.49414
277,2.3,-45.14954,386.27979,1409.3656
278,2.308,-51.34409,387.72604,1409.81738
279,2.317,-59.64368,388.54419,1410.26038
280,2.325,-65.89936,388.6976,1410.65808
281,2.333,-73.45002,391.22626,1410.91113
282,2.342,-79.38453,390.68875,1411.77307
283,2.35,-87.04816,392.08347,1411.72156
284,2.358,-93.46547,392.35431,1411.88367
285,2.367,-100.38865,394.61209,1412.56628
286,2.375,-107.49956,394.54343,1411.69922
287,2.383,-114.17535,394.54181,1412.11731
288,2.392,-121.54195,396.1124,1412.2843
289,2.4,-128.60643,395.7598,1412.01379
290,2.408,-134.83676,397.30365,1411.01538
291,2.417,-142.34354,398.1138,1410.14771
292,2.425,-149.09157,397.91519,1409.7616
293,2.433,-156.96992,398.30313,1408.99939
294,2.442,-163.56834,398.89233,1407.64221
295,2.45,-171.82828,398.81491,1407.81787
296,2.458,-178.20851,398.77731,1406.92383
297,2.467,-186.65488,400.24402,1406.62842
298,2.475,-193.11026,399.79294,1406.18579
299,2.483,-200.27559,400.27301,1404.54712
300,2.492,-207.19476,400.86853,1403.39758
301,2.5,-215.29431,399.95319,1402.33252
302,2.508,-221.38986,400.3876,1401.99121
303,2.517,-230.38997,400.52029,1400.89246
304,2.525,-237.09221,400.04431,1399.24194
305,2.533,-244.70317,399.48776,1397.99341
306,2.542,-251.40802,398.62051,1397.46924
307,2.55,-260.16165,398.75928,1395.7738
308,2.558,-266.21365,397.33777,1395.06372
309,2.567,-273.80383,396.61679,1392.93018
310,2.575,-281.09683,396.44287,1392.73767
311,2.583,-288.05081,394.85461,1391.23657
312,2.592,-295.38672,394.17575,1390.13818
313,2.6,-302.94327,392.88342,1388.89258
314,2.608,-309.63553,391.39258,1388.60242
315,2.617,-318.30621,392.05402,1387.39685
316,2.625,-324.96457,390.2049,1386.68347
317,2.633,-332.46304,388.62076,1385.37793
318,2.642,-340.43036,387.86075,1384.61487
319,2.65,-348.18906,387.93472,1385.13684
320,2.658,-355.6546,386.32199,1384.33752
321,2.667,-364.24561,385.32407,1385.40076
322,2.675,-371.41217,383.39175,1385.4491
323,2.683,-379.84238,381.70071,1385.13745
324,2.692,-386.64822,382.13959,1384.89563
325,2.7,-393.82339,381.29163,1385.4248
326,2.708,-403.39175,380.94882,1385.65503
327,2.717,-409.93604,379.06494,1386.38599
328,2.725,-416.02985,379.35123,1386.49622
329,2.733,-425.02811,378.46472,1387.71399
330,2.742,-432.13776,376.35419,1388.26575
331,2.75,-438.63025,377.39798,1388.51294
332,2.758,-448.15567,376.95959,1387.92004
333,2.767,-455.129,375.83698,1388.54211
334,2.775,-462.40039,374.78305,1389.54797
335,2.783,-470.70657,374.63904,1389.51428
336,2.792,-478.02194,373.7999,1390.15125
337,2.8,-486.00229,372.60422,1391.70898
338,2.808,-493.81241,374.44525,1392.3479
339,2.817,-500.3479,371.87796,1393.1377
340,2.825,-507.20279,371.05695,1394.88208
341,2.833,-515.88733,370.97037,1395.88293
342,2.842,-523.84796,370.77023,1397.10815
343,2.85,-531.54346,371.41245,1397.75769
344,2.858,-538.43011,369.89847,1398.03613
345,2.867,-546.54181,369.59549,1399.08801
346,2.875,-553.78906,368.46732,1400.38989
347,2.883,-560.39905,368.87335,1400.46851
