Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
234,1.942,425.33615,37.65338,1627.10925,535.98004,44.4523,1514.80322
235,1.95,431.61639,37.1319,1628.20825,543.4491,44.07981,1513.63989
236,1.958,437.79089,39.2965,1628.02148,549.13928,46.57981,1512.4967
237,1.967,444.62305,41.26252,1626.54846,554.45032,46.6201,1513.20532
238,1.975,448.84949,39.59761,1625.86462,558.89838,48.6623,1513.07874
239,1.983,455.6427,41.24727,1624.41724,565.56171,48.97206,1510.09509
240,1.992,460.49585,42.56292,1625.24695,571.4472,49.11245,1509.66064
241,2,467.18677,43.05117,1623.31189,577.61365,51.91804,1510.20581
242,2.008,472.8367,46.63236,1622.53784,583.55487,52.58009,1510.17627
243,2.017,478.86813,49.33216,1622.58765,590.50275,51.10139,1507.34021
244,2.025,484.1868,48.23596,1621.38989,595.28265,53.07368,1506.72278
245,2.033,489.70428,49.52535,1621.53308,600.16968,55.24132,1506.51331
246,2.042,496.83066,50.63278,1619.44666,606.0592,57.16212,1505.91919
247,2.05,501.83792,51.28544,1619.72839,611.46234,58.51838,1504.67737
248,2.058,507.31836,53.46294,1620.02332,618.54285,60.33355,1506.02747
249,2.067,514.89838,57.2089,1619.41699,624.22308,59.80486,1505.32031
250,2.075,519.03156,57.03144,1619.65771,629.30981,61.78462,1505.84827
251,2.083,525.76257,58.66629,1620.77197,636.77484,63.76728,1507.26526
252,2.092,531.22522,61.4404,1622.56531,641.32996,66.61439,1507.86682
253,2.1,538.59344,64.26382,1624.24146,646.99304,68.30653,1508.66516
254,2.108,543.34662,64.65813,1624.51416,653.6051,69.3875,1510.38159
255,2.117,548.42834,66.86652,1625.80444,660.3761,72.02198,1511.2627
256,2.125,555.52283,68.55564,1627.00085,666.11523,73.08869,1512.34863
257,2.133,561.75879,69.51888,1627.36353,672.76746,73.71642,1513.27429
258,2.142,569.19263,69.7821,1628.72253,678.46222,75.63343,1513.35181
259,2.15,573.57141,75.30225,1629.34509,683.21338,77.58184,1516.45581
260,2.158,579.44623,76.3566,1631.8219,688.37653,80.63111,1516.32043
261,2.167,586.40692,76.48393,1633.04614,695.08533,82.47221,1518.30273
262,2.175,590.94958,77.58562,1634.25891,701.10803,83.95494,1518.76794
263,2.183,596.23224,78.96801,1634.82678,706.37152,85.04803,1520.00122
264,2.192,602.2702,79.96331,1635.72668,711.47736,84.64934,1521.27112
265,2.2,607.4234,82.52731,1636.50159,718.26349,86.39478,1522.51709
266,2.208,612.26678,84.52207,1639.59399,723.74335,88.24203,1522.46216
267,2.217,618.25574,83.13186,1636.66138,729.56903,89.55627,1524.39001
268,2.225,624.92828,84.33937,1637.21436,735.41064,89.61288,1524.49988
269,2.233,629.53528,87.24465,1637.93799,742.57281,90.70403,1525.51526
270,2.242,634.4671,87.4635,1639.01147,747.02771,92.73293,1526.02185
271,2.25,641.56805,87.19823,1638.78125,752.57385,90.89787,1525.56006
272,2.258,647.53406,88.85277,1637.64844,758.15814,92.37447,1526.30652
273,2.267,651.8501,89.8697,1638.33081,764.94946,93.66345,1526.41809
274,2.275,658.09717,92.04745,1639.12378,770.97784,95.07614,1527.07715
275,2.283,663.7196,90.0527,1640.48438,777.17395,94.00734,1527.2384
276,2.292,671.00598,92.14302,1638.81555,781.84851,95.35954,1526.83484
277,2.3,676.51752,91.77558,1638.89905,788.00732,94.2368,1525.96643
278,2.308,682.90546,92.42179,1639.45288,795.47272,96.46619,1526.36621
279,2.317,688.73523,94.72097,1639.51318,802.50684,95.17519,1526.3042
280,2.325,695.21008,93.67542,1638.92065,806.57214,95.86806,1526.18152
281,2.333,702.35321,95.29457,1639.26917,814.04413,94.49189,1525.36548
282,2.342,708.00659,94.31652,1640.03271,818.87732,95.66225,1525.7511
283,2.35,714.33447,93.71844,1640.68127,824.46198,97.30856,1525.60376
284,2.358,721.32507,92.88961,1641.90295,830.76062,95.67361,1525.16528
285,2.367,727.36548,93.14384,1640.34216,836.26294,96.98257,1526.21338
286,2.375,733.97662,92.1789,1640.45691,843.15857,95.54761,1524.21826
287,2.383,739.68622,90.96403,1640.88428,847.88824,97.00503,1524.03577
288,2.392,745.39581,92.3624,1640.23718,854.14429,95.20507,1524.27722
289,2.4,752.70972,91.206,1640.70532,859.47028,96.1344,1525.19495
290,2.408,756.41626,93.58272,1640.4248,865.95764,94.75866,1523.52332
291,2.417,762.80725,92.56293,1641.37061,871.19489,95.9483,1523.5116
292,2.425,769.81213,92.11268,1640.88171,878.32898,95.5169,1523.25623
293,2.433,775.78119,91.84389,1639.40759,884.1358,95.214,1523.80127
294,2.442,781.98376,90.89858,1639.74902,890.44257,94.49638,1523.00305
295,2.45,788.42065,90.06965,1640.02612,894.54712,94.08401,1522.8241
296,2.458,793.17371,91.97965,1639.58984,900.95685,92.95008,1523.16736
297,2.467,800.45447,88.46268,1637.62854,908.25464,92.39096,1521.1842
298,2.475,804.60883,91.23142,1638.8772,913.06702,92.83943,1521.18555
299,2.483,810.86884,90.7719,1639.04895,919.02576,91.22472,1520.82373
300,2.492,816.53577,89.06284,1636.58252,924.99896,90.56747,1521.4906
301,2.5,822.99268,88.55605,1636.37329,931.6889,90.93403,1519.7771
302,2.508,829.59979,88.65758,1637.28101,938.52057,90.6516,1518.86975
303,2.517,836.60797,87.08727,1634.80713,942.56134,90.66781,1518.66504
304,2.525,843.38702,86.48891,1634.90918,949.44476,87.81152,1517.52161
305,2.533,848.75165,84.9637,1634.75232,956.25574,88.40157,1517.54663
306,2.542,855.69092,84.83268,1633.69739,963.08838,88.09592,1516.03113
307,2.55,861.65015,82.89293,1633.50269,969.20868,87.06067,1515.28809
308,2.558,868.29706,82.40312,1632.30798,975.94104,86.10731,1514.63281
309,2.567,874.70532,83.00816,1630.59436,980.6825,86.03784,1513.05969
310,2.575,879.13983,84.29291,1630.80432,986.53497,85.42583,1511.89844
311,2.583,886.32104,82.1694,1629.026,993.88141,83.37227,1509.81323
312,2.592,892.06909,81.8588,1628.04553,999.7934,84.33857,1510.71094
313,2.6,898.69458,80.20742,1627.98669,1006.30591,83.14627,1508.76782
314,2.608,905.37579,79.92251,1626.10425,1012.22864,80.74976,1507.69482
315,2.617,910.59125,77.38737,1624.82654,1019.39557,79.43491,1506.00037
316,2.625,917.70569,76.80575,1622.71606,1024.91089,79.21397,1505.31848
317,2.633,924.43164,75.55544,1621.9093,1031.15601,78.71448,1503.69226
318,2.642,931.08466,75.45056,1621.21936,1037.08118,77.94467,1501.48962
319,2.65,937.08472,74.09153,1619.52625,1043.00598,74.61002,1501.22815
320,2.658,943.29956,72.17348,1619.59644,1050.2218,73.70006,1499.05615
321,2.667,950.11145,70.45175,1617.18677,1057.19775,71.71839,1497.31836
322,2.675,955.65979,68.89901,1616.07959,1061.65796,73.17863,1496.57166
323,2.683,961.97797,68.15182,1616.42725,1067.65234,70.49266,1496.18701
324,2.692,968.81702,67.1516,1614.13354,1074.54028,68.41725,1494.98328
325,2.7,973.85248,64.54605,1614.92285,1081.85754,67.14246,1495.09619
326,2.708,980.8797,63.9203,1615.46191,1088.0929,66.21076,1494.56372
327,2.717,989.12994,61.51137,1613.33228,1095.77136,64.19025,1494.72095
328,2.725,994.52789,61.01525,1612.80286,1100.42712,63.98782,1495.07825
329,2.733,1000.54266,59.52014,1614.22498,1106.67761,63.10525,1496.53662
330,2.742,1007.65851,59.02957,1615.0354,1113.55286,60.96698,1494.94678
331,2.75,1013.90564,58.24465,1615.45789,1120.92651,59.94235,1496.42139
332,2.758,1020.79657,55.85031,1616.07104,1128.57971,58.63014,1496.50891
333,2.767,1026.92834,52.80632,1615.62744,1134.41406,56.529,1497.96094
334,2.775,1036.48486,50.0447,1616.16492,1140.98987,54.04652,1498.47498
335,2.783,1043.98413,49.70611,1617.47375,1148.28052,52.93378,1498.07166
336,2.792,1049.3894,48.17492,1618.55847,1155.33215,52.19735,1499.58423
337,2.8,1056.82764,46.87581,1619.42297,1163.23499,50.94346,1500.23547
338,2.808,1063.09607,45.21969,1620.54272,1169.61011,50.08058,1500.6311
339,2.817,1070.69385,44.27285,1620.57727,1176.05957,49.4735,1500.51514
340,2.825,1077.31592,42.95224,1622.18774,1182.0929,48.1702,1501.46936
341,2.833,1084.34888,42.65579,1622.80737,1188.67932,46.20772,1502.37939
342,2.842,1090.93787,40.67876,1624.41956,1194.48755,45.53577,1502.86511
343,2.85,1097.00745,39.65588,1622.48376,1201.80884,45.57289,1503.41626
344,2.858,1103.33118,38.3884,1623.85291,1207.63855,45.52922,1504.05286
345,2.867,1110.95984,37.29844,1623.75366,1214.18604,43.69095,1503.84802
346,2.875,1117.34888,38.49038,1624.57202,1221.08105,43.13286,1505.28687
347,2.883,1122.21851,38.48518,1625.99194,1228.04944,42.42975,1504.81433
348,2.892,1127.8739,38.9621,1625.65881,1234.58691,40.76427,1505.58667
349,2.9,1135.25476,37.99754,1626.5636,1241.96448,42.56281,1505.99036
350,2.908,1143.61841,36.80558,1626.46106,1248.56323,42.19307,1506.14661
351,2.917,1149.76196,35.46119,1627.01355,1255.20349,41.28661,1507.30115
352,2.925,1156.91089,34.56171,1628.09167,1261.54675,41.14634,1507.12317
353,2.933,1162.18823,35.54416,1627.51025,1268.43384,41.53879,1506.4928
