Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
108,0.892,-1081.04004,-168.19124,1253.65979,-1130.77063,-193.1125,1076.6571,-1144.99915,-112.39237,1075.39038
109,0.9,-1076.73682,-168.92767,1253.04443,-1125.90723,-194.41074,1074.61951,-1139.9657,-113.761,1074.50684
110,0.908,-1071.41711,-170.58334,1252.5752,-1121.14661,-196.59164,1074.66174,-1134.07068,-114.76085,1074.00696
111,0.917,-1065.71777,-172.93958,1251.38574,-1114.86536,-196.6394,1073.96509,-1129.23914,-116.02441,1073.01331
112,0.925,-1061.19006,-174.44186,1250.94446,-1110.14941,-197.22749,1073.3562,-1123.61902,-117.58315,1072.23718
113,0.933,-1054.93127,-176.79778,1249.87122,-1105.33679,-199.99457,1072.58606,-1117.84473,-119.15821,1071.34058
114,0.942,-1049.37341,-176.75186,1248.89636,-1099.16797,-201.86111,1071.37756,-1112.81519,-120.21127,1070.87671
115,0.95,-1043.24451,-178.59261,1248.37061,-1093.90186,-203.44048,1070.86584,-1106.7782,-122.51453,1070.55017
116,0.958,-1037.17761,-181.67412,1247.78357,-1087.8092,-205.41386,1069.01123,-1100.48035,-124.66886,1069.4375
117,0.967,-1031.08765,-183.84291,1247.21997,-1080.69214,-206.23943,1068.3053,-1094.71472,-125.93321,1068.75208
118,0.975,-1025.63831,-186.08987,1246.27014,-1074.94873,-208.01672,1068.16345,-1088.62512,-128.23325,1068.17664
119,0.983,-1018.72046,-188.2934,1245.16333,-1067.96436,-209.80649,1067.46265,-1082.37341,-130.33247,1067.84045
120,0.992,-1011.50775,-189.94574,1244.17664,-1060.75842,-212.05269,1066.38904,-1075.82117,-131.7272,1067.02417
121,1,-1003.84027,-192.44289,1244.12256,-1053.86377,-214.85248,1065.60901,-1068.68591,-133.88284,1066.03394
122,1.008,-997.07751,-194.80386,1243.65466,-1046.98853,-215.45711,1064.88672,-1061.90149,-136.58948,1065.99158
123,1.017,-990.78009,-198.30101,1243.03845,-1040.52173,-218.41196,1065.60046,-1054.58411,-137.80344,1065.81262
124,1.025,-983.45288,-200.27882,1243.48608,-1032.65588,-220.78113,1064.35486,-1047.60754,-141.06844,1066.02002
125,1.033,-975.47534,-202.46431,1243.25757,-1025.08936,-222.98465,1065.06189,-1040.41089,-142.65125,1066.13037
126,1.042,-968.6402,-204.78741,1243.05811,-1018.29382,-223.7621,1064.72485,-1033.26172,-144.24483,1066.16345
127,1.05,-961.01691,-206.73442,1243.75867,-1010.2915,-226.16013,1065.05322,-1025.77869,-146.47588,1066.93335
128,1.058,-954.05731,-208.7892,1243.51208,-1002.40839,-227.47787,1064.87207,-1018.05707,-148.18123,1066.58032
129,1.067,-946.23621,-211.18167,1243.43835,-995.00586,-230.06674,1065.36011,-1012.0647,-150.56644,1067.38452
130,1.075,-939.21631,-212.23593,1243.82312,-987.84833,-233.43283,1065.36792,-1004.97546,-153.05058,1067.13501
131,1.083,-932.88483,-214.91835,1243.60474,-980.10223,-234.33224,1066.08569,-997.14825,-155.01956,1067.53577
132,1.092,-926.67749,-217.82214,1244.19141,-973.76801,-236.53992,1066.51477,-990.14026,-157.42188,1067.95667
133,1.1,-920.1571,-219.99683,1245.46851,-966.65015,-239.15628,1065.81543,-982.65198,-159.74706,1067.53406
