Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
176,1.458,597.66229,-341.82416,1690.30713,726.64777,-306.45139,1617.7373
177,1.467,605.20862,-342.92685,1689.40771,734.45074,-307.94345,1616.87097
178,1.475,613.40582,-344.64807,1687.84094,742.12427,-309.48889,1616.45422
179,1.483,620.79486,-346.68765,1688.17249,749.79401,-312.05795,1615.46411
180,1.492,627.94373,-348.50003,1688.46301,758.41541,-313.28445,1615.60864
181,1.5,635.90619,-349.91174,1687.72449,764.93219,-315.53879,1615.47205
182,1.508,643.43298,-351.1937,1687.9939,772.98401,-316.5676,1615.13574
183,1.517,651.68646,-354.01886,1688.04553,781.45911,-317.89249,1616.6217
184,1.525,659.14453,-354.94641,1688.4856,789.43713,-320.83185,1616.97754
185,1.533,667.84619,-357.5318,1689.15662,796.57776,-323.06631,1618.38855
186,1.542,675.2099,-359.96021,1690.32544,804.61267,-325.00818,1618.04382
187,1.55,683.75745,-361.37195,1690.79175,812.83148,-326.73511,1619.13892
188,1.558,691.12274,-362.48883,1691.04065,820.797,-328.57925,1619.78931
189,1.567,699.03235,-365.02142,1691.85413,829.24713,-330.70502,1621.08582
190,1.575,706.87726,-366.75766,1693.00232,836.67316,-332.39362,1620.98108
191,1.583,715.85028,-368.29117,1694.09375,845.11438,-334.13434,1622.97925
192,1.592,722.74084,-369.68542,1695.08167,853.90918,-335.34851,1623.25574
193,1.6,730.64056,-372.0433,1696.03223,861.63501,-337.89264,1625.25159
194,1.608,739.8186,-374.19565,1697.84766,868.56348,-339.41791,1625.15222
195,1.617,747.80988,-374.56973,1698.76135,877.03748,-340.59116,1627.07141
196,1.625,754.34009,-376.54886,1699.07886,884.85529,-342.63055,1627.78162
197,1.633,762.67987,-378.29343,1699.96045,892.98535,-343.64185,1628.49561
198,1.642,770.83246,-380.17908,1701.03247,900.59613,-344.43875,1628.78284
199,1.65,778.90472,-380.8443,1702.42188,908.2865,-346.15976,1630.02576
200,1.658,786.42609,-382.57901,1702.5752,914.97339,-346.53262,1631.39551
201,1.667,793.94116,-383.29532,1703.26624,923.01605,-347.58945,1631.80542
202,1.675,800.98444,-385.30029,1703.66272,931.27838,-349.11057,1631.99438
203,1.683,809.28345,-387.13977,1704.90295,938.91199,-349.73825,1632.99329
204,1.692,817.00085,-388.02948,1705.2196,945.71686,-350.86905,1633.4325
205,1.7,824.65973,-388.5517,1705.94031,953.28595,-352.39569,1634.3894
206,1.708,832.28168,-389.78601,1707.14148,961.40332,-353.06772,1634.51013
207,1.717,840.21454,-390.815,1707.44934,968.9516,-352.08096,1635.0647
208,1.725,846.8844,-391.83801,1707.45923,976.1167,-352.97946,1635.59607
209,1.733,855.32709,-392.05679,1708.19238,984.3858,-354.37637,1636.42053
210,1.742,861.84991,-393.59521,1708.91833,991.57391,-354.66248,1636.85474
211,1.75,870.18835,-394.42798,1709.17798,998.26654,-356.21109,1637.87927
212,1.758,877.67023,-395.17535,1710.11426,1005.94971,-355.12015,1637.93018
213,1.767,885.08484,-395.58981,1709.90002,1013.15393,-356.19128,1638.10278
214,1.775,892.63318,-396.46671,1710.61084,1020.29578,-357.63025,1639.00452
215,1.783,900.10071,-397.0192,1710.65295,1027.62561,-358.01495,1638.99695
216,1.792,907.17291,-398.90494,1711.20447,1035.4281,-357.56064,1638.81421
217,1.8,914.63477,-398.75397,1711.95361,1042.46692,-356.98743,1639.05823
218,1.808,921.9046,-399.41443,1711.39905,1049.83081,-358.4183,1638.74646
219,1.817,929.20374,-399.71332,1711.90759,1056.75452,-358.86938,1638.94629
220,1.825,936.86133,-400.3847,1711.63867,1063.74414,-358.67288,1638.38708
221,1.833,943.93683,-400.53061,1711.05176,1070.64185,-357.6633,1639.28931
222,1.842,951.00623,-399.92166,1711.36475,1077.7489,-358.64114,1639.14099
223,1.85,958.08508,-401.30988,1711.19263,1086.9176,-359.70129,1637.51147
224,1.858,965.69421,-400.66394,1711.31299,1091.93811,-358.04065,1637.85718
225,1.867,972.52576,-401.69016,1710.98535,1098.797,-358.20453,1637.81274
226,1.875,979.01947,-401.47012,1710.29712,1105.73608,-358.98514,1637.61719
227,1.883,986.73022,-401.13055,1710.01025,1115.23621,-358.7135,1637.80042
228,1.892,992.92615,-401.41614,1709.30688,1119.89209,-356.64291,1636.69653
229,1.9,1000.29083,-402.00232,1708.40344,1127.15881,-357.11383,1635.88062
